Call_Number,Title,Last_Name,First_Name,Year
"ND217.B37","Currents of expansion : painting in the Midwest, 1820-1940 : the St. Louis Art Museum, February 18-April 10, 1977 : catalogue","Barter","Judith A.","1977"
"ND222.C46 1987","Choices : twenty painters from the Midwest ; MCAD Gallery 12 October to 15 November 1987","","","1987"
"ND222.C66 1977","Contemporary figurative painting in the Midwest : an invitational exhibition at the Madison Art Center","","","1977"
"ND2240.S53 1990","Painting with four tubes of paint : a simplified palette for watercolorists","Schaffer","Phillip","1990"
"ND2270.O55 1976","Painting the marine scene in watercolor","Olson","Herbert Vincent","1976"
"ND230.I3A5","Six Illinois painters 67/69; exhibit 1-[4]","Illinois Arts Council","","1970"
"ND230.M5 M5","Missouri, heart of the nation: a pictorial record by fourteen American artists…","","","1947"
"ND235.C45 B54 2007","Big Picture: a New View of Painting in Chicago","","","2007"
"ND235.C45G74 2004","Chicago Painting, 1895 to 1945: The Bridges Collection.","","","2004"
"ND235.C45L6 1990","Locations of desire : Phyllis Bramson, Michiko Itatani, Vera Klement","","","1990"
"ND235.C45N49 1993","The \"new woman\" in Chicago, 1910-1945 : paintings from Illinois collections","","","1993"
"ND235.C45O88 1973","What they're up to in Chicago. Peinture, heure de Chicago","Ottawa. National Gallery of Canada","","1973"
"ND235.C45W355 1965","Twelve Chicago painters : [Exhibition], July 24","Walker Art Center.","","1965"
"ND235.C45W663 1996","Women and Chicago imagism : Rockford Art Museum","","","1996"
"ND235.C4E96 1933","Exhibition of paintings and prints by Chicago artists : February 28 to March 30, 1933 / Whitney Museum of American Art","","","1933"
"ND236.P3","Mural painters in America.","Park","Esther Ailleen","1949"
"ND236.W3","Twenty painters and how they work","Watson","Ernest William","1950"
"ND237.A235A4 1991","Gertrude Abercrombie : an exhibition","","","1991"
"ND237.A2B6","A decade of still life","Bohrod","Aaron","1966"
"ND237.A32C5","Ivan Albright","Art Institute of Chicago","","1964"
"ND237.A32C76","Ivan Albright","Croydon","Michael",""
"ND237.A42L4 1977","Walter Burt Adams : a midwestern artist who loved and painted Evanston, Illinois from 1931 to 1977","Levy Jr.","Joseph","1977"
"ND237.A67J3 1929a","Thirty-five saints and Emil Armin","Jacobson","J. Z.","1929"
"ND237.B22B8","The art of Martin Baer, George Baer","Bulliet","C. J.","1928"
"ND237.B42A4 1988","Nina Beall : paintings, February 18-March 28, 1988","Beall","Nina","1988"
"ND237.B4565A4 1997","Janet Pines Bender","Bender","Janet Pines","1997"
"ND237.B74A4 2000","Cosmic disorder : paintings : 24 March-22 April 2000","Bramson","Phyllis","2000"
"ND237.B8745A4 1980","Roger Brown","Brown","Roger","1980"
"ND237.C557R3 1942","Ralph Clarkson, 1861-1942","","","1942"
"ND237.C578A4 1978","George Cohen : retrospective exhibition, April 20-September 25, 1978, Smith College Museum of Art, Northampton, Massachusetts","cohen","George","1978"
"ND237.D245H35 1996","Henry Darger : the unreality of being","Darger","Henry","1996"
"ND237.D3334A4","Manierre Dawson (1887-1969) : a retrospective exhibition of painting","Dawson","Manierre","1976"
"ND237.D3355A4 1966","Janice Lefton, Vico de Luigi","Deluigi","Janice Ceci","1966"
"ND237.E554L68 1984","New paintings by Larry Elliott : synthesis of fantasy and reality","Love","Richard","1984"
"ND237.E585A4 1999","Elvgren girls I","","","1999"
"ND237.E585A4 1999a","Elvgren girls II","","","1999"
"ND237.E585C65 1998","Elvgren--his life & art","Collins","Max Allan","1998"
"ND237.F75A4 2001","Frederick Carl Frieseke : the evolution of an American impressionis","Frieseke","Frederick C.","2001"
"ND237.G275Y63 1981","Leon and Sadie Ellis Garland : Chicago's pioneer modernists","Yochum","Louise Dunn","1981"
"ND237.G6113A4 2003","Leon Golub: Works Since 1947","Golub","Leon","2003"
"ND237.H37A4 1960z","Gerald Hardy","Hardy","Gerald","1960"
"ND237.H584P67 1991","Victor Higgins : an American master","Porter","Dean","1991"
"ND237.H62A4 1993","Three painters : Eleanor Himmelfarb, Samuel Himmelfarb, John Himmelfarb","","","1993"
"ND237.H62A4 1994","Three painters","Himmelfarb","Samuel","1994"
"ND237.H669E9","Laurie Hogin : paradise in peril, a survey of work 1990-1996","Evanston Art Center","","1997"
"ND237.H675A4 2001","Can you see me? : an unveiling of the human spirit","Holt","Karen","2001"
"ND237.I82 A4 1991","Michiko Itatani : March 1-31, 1991","Itatani","Michiko","1991"
"ND237.I82A4 1992","Michiko Itatani : painting since 1984","Itatani","Michiko","1992"
"ND237.I8A4 1980","Miyoko Ito: a review; the Renaissance Society at the University of Chicago, October 5 - November 9, 1980","Ito","Miyoko","1980"
"ND237.J34D68 1996","Wadsworth Jarrell : the artist as revolutionary","Douglas","Robert","1996"
"ND237.J723A4 1989","Fred G. Johnson : sideshow banners","Johnson","Fred G.","1989"
"ND237.J77G37","The art of Raymond Jonson, painter","Garman","Ed","1975"
"ND237.K557A4 1999","Vera Klement: Paintings 1965-1998","Klement","Vera","1999"
"ND237.K86A4 2000","Anna Kunz : paintings","Kunz","Anna","2000"
"ND237.L35A4 1992","Matt Lamb","Lamb","Matt","1992"
"ND237.L35A4 1994","Matt Lamb","Lamb","Matt","1994"
"ND237.M24623A35 2000","Kerry James Marshall","Marshall","Kerry Lame","2000"
"ND237.M255A4 1978","Martyl : an introduction prepared for the exhibition held January 29-March 5, 1978, Illinois State Museum, Springfield","Martyl","","1978"
"ND237.M4137A4 1991","Carol Haliday McQueen : paintings, 8 November to 21 December 1991","McQueen","Carol Haliday","1991"
"ND237.M464A4 2000","James McNeill Mesplé : the metamorphoses","Mesplé","James McNeill","2000"
"ND237.M46G74 1994","A rediscovered regionalist : Herman Menzel","Greenhouse","Wendy","1994"
"ND237.M58K47 1997","Joan Mitchell","Kertess","Klaus","1997"
"ND237.M8524A4 1991","The art of Archibald J. Motley, Jr.","Robinson","Jontyle Theresa","1991"
"ND237.N37G5","Robert Natkin : works from 1959 to 1980","Natkin","Robert","1980"
"ND237.N3A4 1976","Robert Natkin : exhibition schedule : Moore College of Art Gallery, Philadelphia, Pennsylvania, January 23-February 20, 1976","Natkin","Robert","1976"
"ND237.N3F83","Robert Natkin","Fuller","Peter","1980"
"ND237.N422A4 1988","Joseph Nechvatal : paintings, 1986-1987 : February 9 through March 20, 1988, University Galleries, Illinois State University, Normal","Nechvatal","Joseph","1988"
"ND237.N597C6","Nordfeldt, the painter","Coke","Van Deren","1972"
"ND237.N6A4 1993","John Warner Norton","Zimmer","Jim L.","1993"
"ND237.N88A4 1994","Jim Nutt","Nutt","Jim","1994"
"ND237.P373A4 1993","Lorraine Peltz : paintings","Peltz","Lorraine","1993"
"ND237.P42N48","Irving Petlin : rubbings : the large paintings and the small pastels","Petlin","Irving","1978"
"ND237.P667L68 1994","The lost paintings of Tunis Ponsen (1891-1968)","","","1994"
"ND237.P75B6","Varnum Poor","Boswell","Peyton","1941"
"ND237.R16A4 1988","Christina Ramberg : a retrospective, 1968-1988","Ramberg","Christina","1988"
"ND237.R59A4 1995","Barbara Rossi","Rossi","Barbara","1995"
"ND237.R7225A4 1998","Lifeli[k]e","Rosen","Kay","1998"
"ND237.R7244A4 1984","The art of Seymour Rosofsky","Rosofsky","Seymour","1984"
"ND237.S185A4 2000","Reflections of the century","Sahagian","Arthur","2000"
"ND237.S32A4 1979","Paul Sarkisian : paintings :  May 22 through June 25, 1979, the Arts Club of Chicago","Sarkisian","Paul","1979"
"ND237.S353A4 1998","Angela Schlaud : paintings, drawings","Schlaud","Angela","1998"
"ND237.S43375A4 1995","Timothy Schools","Schools","Timothy","1995"
"ND237.S4348A4 1977","Paintings by Carl E. Schwartz : an introduction prepared for the exhibition held September 11 through October 23, 1977 at the Illinois State Museum","Evans","Robert J.","1977"
"ND237.S4356 A84","Schwedler paintings, drawings : February 21-March 15, 1975, Andrew Crispo Gallery","Schwedler","William","1975"
"ND237.S915A4 1980","The arts of Robert Sutz","Sutz","Robert","1980"
"ND237.T62A45","Portraits : reproducing sixteen recent portraits by the painter","Trebilcock","Paul","1928"
"ND237.W367A4 1991","John Pitman Weber : art of social conscience : a mid-career retrospective in three parts","Weber","John Pitman","1991"
"ND237.W622B45 1998","Ben Whitehouse : earth, water, sky, paintings 1994-1998","Whitehouse","Ben","1998"
"ND237.W776K3 2016","Karl Wirsum","Simpson","Suzanne","2016"
"ND237.Y586A4 1984","Ray Yoshida : a review, May 4-June 1984, N.A.M.E. Gallery, Chicago","Yoshida","Ray","1984"
"ND237.Y598A4 1992","Andrew Young","Young","Andrew","1992"
"ND238.N5A7 1970","Second Afro-American issue","","","1970"
"ND238.N5C37 1984","Dorothy Carter : August 5-31, 1984","Carter","Dorothy","1984"
"ND238.N5D75 1987","Contemporary Visual Expressions","Driskell","David C.","1987"
"ND238.N5T48 1988","Three masters : Eldzier Cortor, Hughie Lee-Smith, Archibald John Motley, Jr. : May 22, 1988-July 17, 1988","","","1988"
"ND2420.S52 1985","How to make a painting","Shapiro","Irving","1985"
"ND2420.S65 2006","Splash 9: Watercolor Secrets","","","2006"
"ND2420.S65 2012","Splash 13: Alternative Approaches","","","2012"
"ND2420.S65 2013","Splash 14: Light and Color","","","2013"
"ND2420.S65 2015","Splash 16: Exploring Textures","","","2015"
"ND2590 .H64 2013","You are beautiful","Hoffman","Matthew","2013"
"ND2590.B466 2010","Beyond the Street: the 100 Leading Figures in Urban Art","","","2010"
"ND2590.D467 2011","Chicago Street Art","Depre","Joseph J.","2011"
"ND2590.W32 2015","Mural XXL","Walde","Claudia","2015"
"ND2608.C63 1977","Toward a people's art : the contemporary mural movement","Cockcroft","Eva Sperling","1977"
"ND2611.C47C7","Cry for justice","","","1972"
"ND2635.I6C37 1995","A simple and vital design : the story of the Indiana post office murals","Carlisle","John C.","1995"
"ND2637.B76A4 1995","Freedom wall : a project","Brooks","Adam","1995"
"ND2638.C4A42 1998","Albert G. Lane Technical High School Art Collection","","","1998"
"ND2638.C4B43 2002","Art for the people : the rediscovery and preservation of progressive- and WPA-era murals in the Chicago public schools, 1904-1943","Becker","Heather","2002"
"ND2638.C4G73 2001","A guide to Chicago's murals","Gray","Mary L.","2001"
"ND2638.C4P35 2013","Paint, Paste, Sticker: Chicago Street Art","","","2013"
"ND2638.J65H84 2001","Murals : the great walls of Joliet","Huebner","Jeff","2001"
"ND2639.3.A35P75 2000","Walls of Heritage, Walls of Pride: African American Murals","Prigoff","James","2000"
"ND314.M27A4 1989","Contemporary Puerto Rican artists","Martinez","Oscar Luis","1989"
"ND339.S48A4 1995","Jorge Simes : pintura de guerra = war paint","Simes","Jorge","1995"
"ND339.S48A4 1996","Dialogo con el barroco","Simes","Jorge","1996"
"ND35.B413","Dictionary of abstract painting, with a history of abstract painting","Seuphor","Michel","1957"
"ND553.L58C47","Leger","Art Institute of Chicago","","1953"
"ND553.L58K8","Léger","Kuh","Katherine","1953"
"ND588.O359 A4 2011","Painthing on the Move","Oehlen","Albert","2011"
"ND699.G696A4 1990zb","[Catalog of selected oil paintings]","Grineva","Oksana",""
"NE1104.S73 2015","Uncompromising Souls","Stanfel","Larry","2015"
"NE1104.S732","The Complete Poetry of Helen West Heller","Stanfel","Larry","2015"
"NE1112.V33A4 1988","Bert Van Bork : Berlin 1947-Chicago 1987","Van Bork","Bert","1988"
"NE1112.W37A4 1978","Gods' man: a novel in woodcuts","Ward","Lynd","1978"
"NE1112.W37A57","Storyteller without words; the wood engravings of Lynd Ward","Ward","Lynd","1974"
"NE1215.H4A7 1947a","Woodcuts, U. S. A.","Heller","Helen West","1947"
"NE1860.N4A3","Fine Art Reproductions Of Old & Modern Masters","New York Graphic Society","","1968"
"NE1860.O38A49 1964","Oestreicher's Prints, inc., the world's largest collection of fine color art reproductions","Oestr4eicher's Prints, Inc.","","1964"
"NE1940.C53 1991","Chicago Society of Etchers : William E. Gahlberg Gallery, Arts Center, College of DuPage","","","1991"
"NE2012.B37A4 1995","The unquiet eye : Vera Berdich : a retrospective : February 4-April 2, 1995, Chicago Cultural Center","Berdich","Vera","1995"
"NE2135.S7","The etching of cities","Stevens","Thomas Wood","1913"
"NE2195.R4","The voices of the dunes : and other etchings","Reed","Earl H.","1912"
"NE2210.K5A4","The etchings of Troy Kinney","Kinney","Troy","1929"
"NE2225.V36B47 1990","Bert Van Bork : one man exhibition","Van Bork","Bert","1990"
"NE2237.P47 2011","Pulled: A Catalog of Screen Printing","Perry","Mike","2011"
"NE2312.G64A3 1989","Leon Golub : the first series","Gulub","Leon","1989"
"NE42.K46P37","Parkside National Small Print Exhibit, 22","University of Wisconsin - Parkside","","2009"
"NE505.A585 1974","American printmakers 74 : an annual sourcebook of original prints by contemporary American artists","","","1974"
"NE507.M44","The cowboy in American prints","Meigs","John","1972"
"NE538.C5A3 1987","The Chicago imagist print : ten artists' works, 1958-1987 : a catalogue raisonné","Adrian","Dennis","1987"
"NE538.C5H66 1986","Prints of Chicago, 1900-1945 : changing attitudes towards the modern city as seen in graphic works by Chicago's local artists","Honore","Andrea Swans","1986"
"NE539.3.A35A4","Alone in a crowd : prints of the 1930s-40s by African-American artists : from the collection of Reba and Dave Williams","","","1992"
"NE539.C27A4 1963","Arthur A. Carrara exhibition","Carrara","Arthur A.","1963"
"NE539.L45A4 1995","June Leaf, prints 1952-1990","Achilles","Rolf","1995"
"NE976.S4 1982","A printmaker's guide to the safe use of materials","Seeger","Nancy","1982"
"NK1105.G4","Horizons","Geddes","Norman Bel","1932"
"NK1394.M87 2008","MAD Book","Museum of Arts and Design","","2008"
"NK1476.A1R67 1998","From the ocean of painting : India's popular paintings, 1589 to the presen","Rossi","Barbara","1998"
"NK1510.D87 2011","The New Artisans: Handmade Designs for Contemporary Living","Dupon","Olivier","2011"
"NK1520.D54 2008","Digital By Design: Crafting Technology for Products and Environments","Freyer","Conny","2008"
"NK1520.J64 1977","Freedom and identity : excerpts from papers presented May 18, 1976, John E. Walley Commemoration Design Conference, University of Illinois…","","","1977"
"NK1535.B75","200 motifs and designs by Fritz Brod with an introduction by C. J. Bulliet","Brod","F.","1945"
"NK1553.W5","Research: design in nature. Field museum of natural history. School of the Art institute, Chicago. 1924-1925.","Wilkins","John Gilbert","1926"
"NK1672.A15 2010","500 Judaica: Innovative Contemporary Ritual Art","","","2010"
"NK2003.5.L68 1995","Chicago interiors : views of a splendid world","Lowe","David","1995"
"NK2192.U625S35 1941","Dekoracja, Kosciola Sw. Jana Bozego ... wykonane przez Jana A. Mallina","","","1941"
"NK2192.U64M35 1931","John A. Mallin promotional catalogs","Mallin","John A.","1931"
"NK2210.C4M5 2001","Suite home Chicago : an international exhibition of urban street furniture","Michel","Ilka","2001"
"NK2438.C54D37 1984","Chicago furniture : art, craft & industry, 1833-1983","Darling","Sharon S.","1984"
"NK2439.S3H3 1974","Isaac E. Scott : reform furniture in Chicago : John Jacob Glessner House","Hanks"," David","1974"
"NK2740.A17 2009","500 Tables: Inspiring Interpretations of Function and Style.","","","2009"
"NK3649.55.U6A15 2006","500 Baskets: A Celebration of the Basketmaker's Art","","","2006"
"NK3650.H46 2012","Showcase 500 Beaded Jewelry: Photographs of Beautiful Contemporary Beadwork","Hemachandra","Ray","2012"
"NK3655.F67 2004","For the Birds: exhibition, 2004, the Clarke House Museum & Chicago Women's Park and Gardens","","","2004"
"NK3940.A15 2009","500 Ceramic Sculptures: Contemporary Practice, Singular Works","","","2009"
"NK4007.C56 1987","American ceramics, 1876 to the present","Clark","Garth","1987"
"NK4008.E97 1995","Exploring a movement : feminist visions in clay : a multi-site exhibition of feminist ceramics presented in four themes","","","1995"
"NK4008.M37 1986","Material and metaphor : contemporary American ceramic sculpture : Robert Arneson …","","","1986"
"NK4027.C4D37","Chicago ceramics & glass : an illustrated history from 1871 to 1933","Darling","Sharon","1979"
"NK4210.H497A4 1997","Higgins : adventures in glass","Johnson","Donald-Brian","1997"
"NK4250.D49 2011","The Pot Book","De Waal","Edmund","2011"
"NK4670.7.U53M35 1999","Take up your cross and follow me : Jerusalem today","McMahon","Irene Leahy","1999"
"NK4670.A18 2008","500 Tiles: An Inspiring Collection of International Work","","","2008"
"NK4894.15.R924 1995","Doll artists at work","Ryan","Kathleen","1995"
"NK5000.A15 2009","500 Enameled Objects: a Celebration of Color on Metal.","","","2009"
"NK5110.G72 1975","Contemporary art glass","Grover","Ray","1975"
"NK520.R92M6 2003","Spaso House-U.S. ambassador's residence in Moscow","","","2003"
"NK6412.D37","Chicago metalsmiths : an illustrated history","Darling","Sharon S.","1977"
"NK7310.5.A15 2011","21st Century Jewelry: the Best of the 500 Series","Le Van","Marthe","2011"
"NK7310.5.L42 2009","Masters. Gold: Major Works By Leading Artists","Le Van","Marthe","2009"
"NK7312.S34 2004","Modernist Jewelry 1930-1960","Schon","Marbeth","2004"
"NK805.F63 1987","Folk artists biographical index","","","1987"
"NK805.S46 1993","20th century American folk, self-taught, and outsider art","Sellen","Betty-Carol","1993"
"NK807.L5","Provocative Parallels; Naïve Early Americans/International Sophisticates","Lipman","Jean","1975"
"NK808.E46 1987","The Eloquent Object: the Evolution of American Art in Craft Media Since 1945","","","1987"
"NK808.H38 1974","Twentieth-century American folk art and artists","Hemphill","Herbert Waide","1974"
"NK808.I67 1971","The Inter-American Craft Alliance and the McAllen International Museum join to present Inter-D 2 : an exhibition of contemporary crafts","","","1971"
"NK808.N6 1970","Objects: USA","Nordness","Lee","1970"
"NK808.R59 1996","Contemporary American folk art : a collector's guide","Rosenak","Chuck","1996"
"NK808.S524 2001","Shaping the Modern : American Decorative Arts at the Art Institute of Chicago 1917-65","","","2001"
"NK830.I45M33 2001","Made in Illinois : an artisan gallery","","","2001"
"NK835.I3C726 1965","Craftsmen in Illinois","Buchwald","Wesley R.","1965"
"NK835.I4I4 1979","Illinois  crafts '79 : a competitive exhibition of contemporary crafts : January 21-February 25, Illinois State Museum","","","1979"
"NK835.I4I4 1981","Illinois crafts '81 : a competitive exhibition of contemporary crafts, March 8-April 19, 1981, Illinois State Museum, Springfield","","","1981"
"NK839.G4A3","Miracle in the evening, an autobiography","Geddes","Norman Bel","1960"
"NK8801.E45I67 1978","Intent '78 : fabrics","","","1978"
"NK8801.E94F52x","Fiber/image : a fibers invitational exhibition of work showing a wide range of concepts in structure : Evanston Art Center, March 21 to April 20, 1975","Evanston Art Center.","","1975"
"NK8801.L38K35","Fabric design international : International student fabric design competition","University of Kansas. Union Gallery","","1976"
"NK8802.I63T49 1977","Textiles : printed, dyed & embellished","","","1977"
"NK8898.T47A4 1949","The George Walter Vincent Smith Art Museum--presents Angelo Testa : March second through the twentieth nineteen hundred forty-nine","Testa","Angelo","1949"
"NK8899.5.W65A15 2011","500 Felt Objects: Contemporary Explorations of a Versatile Material","Mornu","Nathalie","2011"
"NK9110.5.T94 2008","12 Voices: An in-depth look at 12 artists working in the quilt medium","","","2008"
"NK9112.Q5 2001","The best contemporary quilts : Quilt National 2001","","","2001"
"NK9198.F35A4 1995b","Flights of imagination : the textile art of Caryl Bryer Fallert","Fallert","Caryl Bryer","1995"
"NK9198.F35A4 1996","Caryl Bryer Fallert : a spectrum of quilts, 1983-1995","Fallert","Caryl Bryer","1996"
"NK9585.W54 1994","Whirligigs & weathervanes : contemporary sculpture","","","1994"
"NK9955.B6.F58 2009","New Masters of the Wooden Box: Expanding the Boundaries of Box Making","Fitzgerald","Oscar P.","2009"
"NX180.A77A74 1995","The Artist in society : rights, roles, and responsibilities","","","1995"
"NX180.H34S38 1989","Schwab art festival : imagination without barriers III","Schwab Rehabilitation Center","","1989"
"NX282.C54 1996","Gallery 37 ... program report","","",""
"NX427.C4A7","Around the coyote : official festival guide","","",""
"NX427.C4R44 1994","Refried","","","1994"
"NX456.F73 2002","Tiger's Eye: the Art of a Magazine","Franks","Pamela","2002"
"NX456.V552 2005","Visual Music: Synaesthesia in Art and Music Since 1900","","","2005"
"NX511.C45 E83 2013","Exchange: Chicago-Detroit, Detroit-Chicago","","","2013"
"NX511.C45A78 1996","Art in Chicago, 1945-1995","","","1996"
"NX549.A1J8413","The symbolists","Jullian","Philippe","1973"
"NX600.P47N2","N.A.M.E. events 78-79-80","","","1980"
"NX650.A6S54 2008","Signs of the Apocalypse/Rapture","","","2008"
"NX650.H6H36 2000","Lesbian Art in America: a Contemporary History","Hammond","Harmony","2000"
"NX650.L54C54 1988","Rites/Rights of passage","Chicago Women's Caucus for Art","","1988"
"NX650.N65R48 2002","Retro: NIU University Art Museum","","","2002"
"NX650.P6S56 2011","Dark Matter: Art and Politics in the Age of Enterprise Culture","Sholette","Gregory","2011"
"NX650.R36S73 1993","The Subject of Rape: June 23-August 29, 1993, Whitney Museum of American Art","Kruse","Hannah","1993"
"NX650.S435G73 2006","A Secret Service: Art, Compulsion, Concealment","Grayson","Richard","2006"
"NX650.S68S685 2011","Sound","Kelly","Caleb","2011"
"NX650.S68S96 1994","Synesthesia: Sound and Vision in Contemporary Art\
Sound and Vision in Contemporary Art","Bacigalupi","Don","1994"
"NX650.V5E47 2007","The Abu Ghraib Effect","Eisenman","Stephen","2007"
"NX652.G38I5 1995","In a Different Light: Visual Culture, Sexual Identity, Queer Practice","Scholder","Amy","1995"
"NX735.M3","Federal relief administration and the arts; the origins and administrative history of the arts projects of the Works Progress Administration","McDonald","William Francis","1969"
"NX767.C4C54 1929","Prospectus for the second 3-year period","Chicago Galleries Association","","1929"
"NX800.A78 1987","Art in Action: American Art Centers and the New Deal\
American Art Centers and the New Deal","White","John Franklin","1987"
"PJ4589.K3","Prelude to a new art for an old religion","Katz","Alexander Raymond","1945"
"PN1992.4.W56N38 2002","To Oprah with love : a tribute : photographs","Natkin","Paul","2002"
"PN2096.A5F5","Boris Anisfeldt: twenty years of designs for the theater","Flint","Janet A.","1971"
"PN2096.G37T4 1973","Catalog of the Norman Bel Geddes theatre collection, Humanities Research Center, University of Texas at Austin","Univ. of Texas at Austin Humanities Research Cntr.","","1973"
"PN6725.D75 2010","Black Comix: African American Independent Comics Art and Culture","Duffy","Damian","2010"
"PN6727.F29M46 2014","Memory palaces","Fake","Edie","2014"
"PN6727.M4C3 1994","Cartoon girl","McAdams","Heather","1994"
"PN6727.S45C37 1993","Cartoon manifesto","Semelroth","Eric B.","1993"
"PN6727.W285S63 1999","The smartest cartoonist on earth","","","1999"
"PN6728.6.F3A7 1995","Artbabe","Abel","Jessica","1995"
"PS3553.A76375U63 1989","Updating Eden","Carrigan","Nancy","1989"
"PZ8.3.C889Lo6","The lost zoo : (a rhyme for the young, but not too young)","Cullen","Countee","1940"
"QK73.U62C487 1990","A garden for all seasons : Chicago Botanic Garden","Fridmore","Jay","1990"
"SB466.U65C563 2004","Art in the Garden, June 15-October 31","","","2004"
"SPANISH ND339.S48A4 1994","Jorge Simes : obra reciente","Simes","Jorge","1994"
"T396.K49 1986","Variations on a theme : world's fairs of the eighties : Knoxville, New Orleans, Tsukuba, Vancouver","Kezys","Algimantas","1986"
"T500.B1A66 1980","The Chicago World's Fair of 1893 : a photographic record","Appelbaum","Stanley","1980"
"TF23.S66","	The iron road : a portrait of American railroading","Snow","Richard F.","1978"
"TL726.4.C45B87 1988","O'Hare, airport on the prairie","Burley","Robert","1988"
"TN730.P55 1981","Steel","Plowden","David","1981"
"TP862.A5 1970","Kiln-fired glass","Anderson","Harriette","1970"
"TR1.A62 no. 151","Photographers on photographers","","","1998"
"TR139.M63 1986","Viewfinders : black women photographers","Moutoussamy-Ashe","Jeanne","1986"
"TR140.K5A3","Recollections of a Life photographer","Kirkland","Wallace","1954"
"TR140.K5A7","50 photographs by Wallace Kirkland : <IFE photographer","Kirkland","Wallace","1952"
"TR140.S48A3 2000","Album for an age : unconventional words and pictures from the twentieth century","Shay","Arthur","2000"
"TR140.S54A3","Aaron Siskind, photographer","Siskind","Aaron","1965"
"TR140.S54A32x","Aaron Siskind : photographs : Milwaukee Art Center, 10 December 1971 - 23 January 1972","Siskind","Aaron","1971"
"TR140.S54C47 1982","Aaron Siskind : pleasures and terrors","Chiarenza","Carl","1982"
"TR146.S93","Photography: a handbook of history, materials, and processes","Swedlund","Charles","1974"
"TR161.N4","The new vision : forty years of photography at the Institute of Design","","","1982"
"TR23.V5","Visions and Images: American Photographers On Photography","","","1982"
"TR267.D52 1996","Digital image creation: insights into the new photography","","","1996"
"TR268.R46 1995","Pinhole photography : rediscovering a historic technique","Renner","Eric","1995"
"TR350.N47 1992","Breaking the rules : a photo media cookbook","Nettles","Bea","1992"
"TR6.U5C54","Inside our homes, outside our windows : photographs of Chicago ethnic communities : exhibition, August 10-September 30, 1979","Dovydenas","Jonas","1979"
"TR6.U62 C55 2016","ABCs of the Chicago Reader Touring Musicians Publicity Photos Collections","Public Collectors","","2016"
"TR640.F34 1969","Famous photographers annual","","","1969"
"TR645.C42N36 1983","Photographers invite photographers : N.A.M.E. Gallery, Chicago, February 18-April 1, 1983","","","1983"
"TR645.C452M87 2014","Phantoms in the Dirt","Lund","Karsten","2014"
"TR645.C482C484 1994","Light and vision : photography at the School of Design in Chicago, 1937-1952","","","1994"
"TR645.C552C38 2002","What Were You Thinking?: Fifteen Year Anniversary","","","2002"
"TR645.C552A78 2002","Taken by design : photographs from the Institute of Design, 1937-1971","","","2002"
"TR645.C66A15 1985","10th annual juried photographic exhibition","","","1985"
"TR645.H8 F67 1994","FotoFest '94: The Fifth Annual International Festival of Photography","","","1994"
"TR645.H8 F675 2000","FotoFest 2000","","","2000"
"TR645.J67P46 1984","Photospiva 84 : a photographic competitive organized by the Spiva Art Center, Joplin, Missouri","","","1984"
"TR645.M332M26 1995","New photography from Wisconsin, Minnesota, and Illinois","","","1995"
"TR645.N532 B7 2001","Committed to the Image: Contemporary Black Photographers","Brooklyn Museum of Art","","2001"
"TR645.N532J392 2005","The Jewish Identity Project: New American Photography","Chevlowe","Susan","2005"
"TR645.W552 W553 1989","Black Photographers Bear Witness: 100 Yers of Social Protest","Williams College Museum of Art","","1989"
"TR646.I59","Into The 70's: Photogrpahic Images of Sixteen Artists / Photographers","Akron Art Institute","","1970"
"TR646.I82 M54 1993","Vivid: Intense Images by American Photographers","Raab Galerie","1993",""
"TR646.U5 F8","Fugitive Color","School of Art, University of Michigan","","1982"
"TR646.U6 C5244 1984","New Chicago Photographers","Museum of Contemporary Photography of Columbia Col","","1984"
"TR646.U6 H6882 1982","In Sequence","Museum of Fine Arts, Houston","","1982"
"TR646.U6 I833","Photo/Synethesis","Herbert F. Johnson Museum of Art","","1976"
"TR646.U6 M5688 1973","Photographers Midwest Invitational","Walker Art Center","","1973"
"TR646.U6 S368 1975","Women of Photography: An Historical Survey","San Francisco Museum of Art","","1975"
"TR646.U6 S473 1983","Alternate Image: An Aesthetic and Technical Exploration of Nonconventional Photographic Printing Processes","John Michael Kohler Arts Center","","1983"
"TR646.U6 W375 1984","Exposed and Developed: Photography Sponsored by the National Endowment for the Arts","","","1984"
"TR646.U6 Y6733 1973","light and lens: methods of photography","Hudson River Museum","","1973"
"TR646.U6C53 1987","Photovisions : the Contemporary Arts Center, Cincinnati, May 22-July 3, 1987","","","1987"
"TR646.U6L668 1985","Women photographers in America, 1985","","","1985"
"TR646.U6W378 1989","The Photography of invention : American pictures of the 1980s, National Museum of American Art, Smithsonian Institution, Washington, D.C.","","","1989"
"TR647.A45 1984","Harold Allen, photographer and teacher","Allen","Harold","1984"
"TR647.C319 2001","Harry Callahan","Callahan","Harry M.","2001"
"TR647.C33 1988","Harry Callahan : new color : photographs 1978-1987","Davis","Keith F.","1988"
"TR647.C33 1996","Harry Callahan","Callahan","Harry M.","1996"
"TR647.C33 2001","Elemental landscapes : photographs by Harry Callahan","Ware","Katherine","2001"
"TR647.C695 2001","Barbara Crane : Chicago loop : LaSalle Bank Photography Collection","Crane","Barbara","2001"
"TR647.C7 1981","Barbara Crane, photographs 1948-1980","Crane","Barbara","1981"
